latency,retransmission,bandwidth,label
0.004857,274,2330450,wireless
0.002814,227,2520258,wireless
0.001232,0,2267654,wireless
0.002427,111,2785772,wireless
0.000354,0,2622396,wireless
0.008386,228,1780950,wireless
0.006494,272,1904815,wireless
0.001111,209,2622087,wireless
0.001958,220,2186500,wireless
0.000522,0,2478734,wireless
0.006942,262,1835180,wireless
0.013957,183,2137827,wireless
0.007709,189,1702720,wireless
0.003598,227,1495900,wireless
0.007824,124,2261867,wireless
0.000611,1,2588927,wireless
0.000236,1,2882732,wireless
0.000080,0,3562650,wireless
0.000731,4,2461461,wireless
0.006822,482,2018798,wireless
0.016247,406,2038984,wireless
0.009390,446,2677136,wireless
0.021706,301,1642988,wireless
0.003885,380,1699516,wireless
0.001643,305,2337135,wireless
0.003371,216,2576028,wireless
0.002995,63,2553060,wireless
0.002380,131,2835524,wireless
0.001865,3,2540152,wireless
0.008267,267,2106248,wireless
0.004974,222,1890846,wireless
0.003850,265,2509776,wireless
0.000492,2,2756810,wireless
0.006340,33,2752446,wireless
0.002630,148,2260310,wireless
0.010817,249,2016375,wireless
0.006038,136,2216296,wireless
0.002017,204,2246798,wireless
0.004082,181,2231664,wireless
0.004364,147,1874386,wireless
0.001936,104,2580524,wireless
0.004941,53,1588918,wireless
0.004093,90,2173236,wireless
0.002408,145,1819958,wireless
0.002028,121,2260552,wireless
0.001002,141,2113456,wireless
0.000434,2,2391594,wireless
0.001967,91,2321456,wireless
0.000569,0,2514149,wireless
0.000723,205,2028808,wireless
0.003162,43,2803896,wireless
0.000626,53,2218693,wireless
0.003991,216,1944780,wireless
0.002851,232,1825180,wireless
0.000248,2,2237576,wireless
0.000688,2,2220866,wireless
0.002729,164,1565140,wireless
0.002026,60,2201706,wireless
0.002476,83,2166674,wireless
0.002109,162,1989034,wireless
0.000760,74,2234854,wireless
0.000424,0,2837666,wireless
0.005104,152,2464192,wireless
0.009065,146,2258850,wireless
0.009717,306,2157730,wireless
0.003693,185,1861690,wireless
0.004315,277,1891292,wireless
0.000395,0,3022620,wireless
0.000952,29,1319980,wireless
0.017247,428,1929636,wireless
0.013657,757,1891176,wireless
0.001469,46,2194616,wireless
0.001798,60,2419472,wireless
0.000091,0,2437000,wireless
0.000324,2,2518509,wireless
0.000180,0,2412870,wireless
0.000099,2,2209302,wireless
0.000099,0,2522914,wireless
0.000249,1,2189185,wireless
